time,symbol,event,magic,ticket,side,volume,price,sl,tp,profit,reason,extra_json
2026-05-01T13:35:56Z,XAUUSD,OPEN,20260501,,BUY,0.01,4599.85,4599.35,4600.1,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:35:56Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4599.35,0.0,0.0,-0.51,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:36:56Z,XAUUSD,OPEN,20260501,,BUY,0.01,4601.4,4600.9,4601.65,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:36:58Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4601.65,0.0,0.0,0.33,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:37:56Z,XAUUSD,OPEN,20260501,,BUY,0.01,4604.66,4604.16,4604.91,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:37:59Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4604.16,0.0,0.0,-0.5,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:39:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4603.03,4602.53,4603.28,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:39:56Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4603.28,0.0,0.0,0.2,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:40:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4607.76,4607.26,4608.01,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:40:56Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4607.26,0.0,0.0,-0.5,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:44:56Z,XAUUSD,OPEN,20260501,,BUY,0.01,4608.19,4607.59,4608.99,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:45:00Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4608.99,0.0,0.0,0.61,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:52:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4611.84,4611.24,4612.64,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:53:02Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4612.64,0.0,0.0,0.82,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:53:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4615.26,4614.66,4616.06,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:53:58Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4614.66,0.0,0.0,-0.39,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:54:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4617.06,4616.46,4617.86,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:54:56Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4616.46,0.0,0.0,-0.67,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:55:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4626.42,4625.72,4627.22,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:56:04Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4625.72,0.0,0.0,-0.82,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:01:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4637.93,4637.33,4638.73,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:01:59Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4638.73,0.0,0.0,0.82,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:03:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4639.07,4638.47,4639.87,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:03:58Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4638.47,0.0,0.0,-0.58,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:05:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4634.98,4634.38,4635.78,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:05:57Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4634.38,0.0,0.0,-0.59,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:06:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4638.17,4637.57,4638.97,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:06:56Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4637.57,0.0,0.0,-0.35,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:08:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4634.94,4634.34,4635.74,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:09:02Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4634.34,0.0,0.0,-0.79,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:10:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4637.38,4636.78,4638.18,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:10:56Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4638.18,0.0,0.0,0.76,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:11:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4641.64,4641.04,4642.44,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:11:58Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4642.44,0.0,0.0,0.77,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:12:55Z,XAUUSD,OPEN_FAIL,20260501,,BUY,0.01,4658.83,4658.23,4659.63,0.0,invalid stops,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN_FAIL""}"
2026-05-01T14:16:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4658.68,4658.08,4659.48,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:16:56Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4658.08,0.0,0.0,-0.42,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:19:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4654.8,4654.2,4655.6,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:19:59Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4654.2,0.0,0.0,-0.6,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:20:55Z,XAUUSD,OPEN,20260501,,BUY,0.02,4656.46,4655.86,4657.26,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:20:56Z,XAUUSD,CLOSE,20260501,,SELL,0.02,4655.86,0.0,0.0,-0.92,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:22:55Z,XAUUSD,OPEN,20260501,,BUY,0.02,4655.85,4655.25,4656.65,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:22:56Z,XAUUSD,CLOSE,20260501,,SELL,0.02,4655.25,0.0,0.0,-1.28,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:39:55Z,XAUUSD,OPEN_FAIL,20260501,,SELL,0.01,4638.58,4638.83,4638.08,0.0,invalid stops,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN_FAIL""}"
2026-05-01T14:41:55Z,XAUUSD,OPEN,20260501,,SELL,0.01,4632.61,4633.11,4631.91,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:42:13Z,XAUUSD,CLOSE,20260501,,BUY,0.01,4631.91,0.0,0.0,0.58,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:44:55Z,XAUUSD,OPEN,20260501,,SELL,0.01,4633.26,4633.76,4632.56,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:44:57Z,XAUUSD,CLOSE,20260501,,BUY,0.01,4632.56,0.0,0.0,0.35,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:45:55Z,XAUUSD,OPEN,20260501,,SELL,0.01,4632.94,4633.44,4632.24,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:45:56Z,XAUUSD,CLOSE,20260501,,BUY,0.01,4633.44,0.0,0.0,-0.47,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:46:55Z,XAUUSD,OPEN,20260501,,SELL,0.01,4631.42,4631.92,4630.72,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:46:58Z,XAUUSD,CLOSE,20260501,,BUY,0.01,4631.92,0.0,0.0,-0.54,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:47:55Z,XAUUSD,OPEN,20260501,,SELL,0.01,4630.25,4630.75,4629.55,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:47:58Z,XAUUSD,CLOSE,20260501,,BUY,0.01,4630.75,0.0,0.0,-0.61,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:49:55Z,XAUUSD,OPEN,20260501,,SELL,0.01,4630.95,4631.45,4630.25,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:49:59Z,XAUUSD,CLOSE,20260501,,BUY,0.01,4630.25,0.0,0.0,0.5,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:50:55Z,XAUUSD,OPEN,20260501,,SELL,0.01,4630.68,4631.18,4629.98,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:50:57Z,XAUUSD,CLOSE,20260501,,BUY,0.01,4629.98,0.0,0.0,0.84,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T16:58:48,,INIT,20260501,,,,,,,,aggressive_importer_started,"{""source"": ""aggressive_v3""}"
2026-05-01T13:23:56Z,XAUUSD,OPEN,20260501,,SELL,0.01,4591.08,4591.58,4590.83,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:23:57Z,XAUUSD,CLOSE,20260501,,BUY,0.01,4591.58,0.0,0.0,-0.37,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:26:56Z,XAUUSD,OPEN,20260501,,SELL,0.01,4590.95,4591.45,4590.7,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:27:01Z,XAUUSD,CLOSE,20260501,,BUY,0.01,4590.7,0.0,0.0,0.17,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:27:56Z,XAUUSD,OPEN_FAIL,20260501,,SELL,0.01,4589.11,4589.61,4588.86,0.0,invalid stops,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN_FAIL""}"
2026-05-01T13:28:56Z,XAUUSD,OPEN,20260501,,SELL,0.01,4588.62,4589.12,4588.37,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:28:56Z,XAUUSD,CLOSE,20260501,,BUY,0.01,4588.37,0.0,0.0,0.14,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:33:56Z,XAUUSD,OPEN,20260501,,BUY,0.01,4600.56,4600.06,4600.81,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:33:57Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4600.81,0.0,0.0,0.3,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:35:56Z,XAUUSD,OPEN,20260501,,BUY,0.01,4599.85,4599.35,4600.1,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:35:56Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4599.35,0.0,0.0,-0.51,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:36:56Z,XAUUSD,OPEN,20260501,,BUY,0.01,4601.4,4600.9,4601.65,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:36:58Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4601.65,0.0,0.0,0.33,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:37:56Z,XAUUSD,OPEN,20260501,,BUY,0.01,4604.66,4604.16,4604.91,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:37:59Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4604.16,0.0,0.0,-0.5,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:39:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4603.03,4602.53,4603.28,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:39:56Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4603.28,0.0,0.0,0.2,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:40:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4607.76,4607.26,4608.01,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:40:56Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4607.26,0.0,0.0,-0.5,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:44:56Z,XAUUSD,OPEN,20260501,,BUY,0.01,4608.19,4607.59,4608.99,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:45:00Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4608.99,0.0,0.0,0.61,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:52:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4611.84,4611.24,4612.64,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:53:02Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4612.64,0.0,0.0,0.82,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:53:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4615.26,4614.66,4616.06,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:53:58Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4614.66,0.0,0.0,-0.39,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:54:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4617.06,4616.46,4617.86,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:54:56Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4616.46,0.0,0.0,-0.67,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T13:55:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4626.42,4625.72,4627.22,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T13:56:04Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4625.72,0.0,0.0,-0.82,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:01:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4637.93,4637.33,4638.73,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:01:59Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4638.73,0.0,0.0,0.82,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:03:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4639.07,4638.47,4639.87,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:03:58Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4638.47,0.0,0.0,-0.58,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:05:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4634.98,4634.38,4635.78,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:05:57Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4634.38,0.0,0.0,-0.59,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:06:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4638.17,4637.57,4638.97,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:06:56Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4637.57,0.0,0.0,-0.35,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:08:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4634.94,4634.34,4635.74,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:09:02Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4634.34,0.0,0.0,-0.79,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:10:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4637.38,4636.78,4638.18,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:10:56Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4638.18,0.0,0.0,0.76,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:11:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4641.64,4641.04,4642.44,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:11:58Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4642.44,0.0,0.0,0.77,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:12:55Z,XAUUSD,OPEN_FAIL,20260501,,BUY,0.01,4658.83,4658.23,4659.63,0.0,invalid stops,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN_FAIL""}"
2026-05-01T14:16:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4658.68,4658.08,4659.48,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:16:56Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4658.08,0.0,0.0,-0.42,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:19:55Z,XAUUSD,OPEN,20260501,,BUY,0.01,4654.8,4654.2,4655.6,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:19:59Z,XAUUSD,CLOSE,20260501,,SELL,0.01,4654.2,0.0,0.0,-0.6,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:20:55Z,XAUUSD,OPEN,20260501,,BUY,0.02,4656.46,4655.86,4657.26,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:20:56Z,XAUUSD,CLOSE,20260501,,SELL,0.02,4655.86,0.0,0.0,-0.92,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:22:55Z,XAUUSD,OPEN,20260501,,BUY,0.02,4655.85,4655.25,4656.65,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:22:56Z,XAUUSD,CLOSE,20260501,,SELL,0.02,4655.25,0.0,0.0,-1.28,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:39:55Z,XAUUSD,OPEN_FAIL,20260501,,SELL,0.01,4638.58,4638.83,4638.08,0.0,invalid stops,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN_FAIL""}"
2026-05-01T14:41:55Z,XAUUSD,OPEN,20260501,,SELL,0.01,4632.61,4633.11,4631.91,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:42:13Z,XAUUSD,CLOSE,20260501,,BUY,0.01,4631.91,0.0,0.0,0.58,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:44:55Z,XAUUSD,OPEN,20260501,,SELL,0.01,4633.26,4633.76,4632.56,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:44:57Z,XAUUSD,CLOSE,20260501,,BUY,0.01,4632.56,0.0,0.0,0.35,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:45:55Z,XAUUSD,OPEN,20260501,,SELL,0.01,4632.94,4633.44,4632.24,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:45:56Z,XAUUSD,CLOSE,20260501,,BUY,0.01,4633.44,0.0,0.0,-0.47,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:46:55Z,XAUUSD,OPEN,20260501,,SELL,0.01,4631.42,4631.92,4630.72,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:46:58Z,XAUUSD,CLOSE,20260501,,BUY,0.01,4631.92,0.0,0.0,-0.54,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:47:55Z,XAUUSD,OPEN,20260501,,SELL,0.01,4630.25,4630.75,4629.55,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:47:58Z,XAUUSD,CLOSE,20260501,,BUY,0.01,4630.75,0.0,0.0,-0.61,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:49:55Z,XAUUSD,OPEN,20260501,,SELL,0.01,4630.95,4631.45,4630.25,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:49:59Z,XAUUSD,CLOSE,20260501,,BUY,0.01,4630.25,0.0,0.0,0.5,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T14:50:55Z,XAUUSD,OPEN,20260501,,SELL,0.01,4630.68,4631.18,4629.98,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T14:50:57Z,XAUUSD,CLOSE,20260501,,BUY,0.01,4629.98,0.0,0.0,0.84,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T17:48:57Z,XAUUSD,OPEN,20260501,,SELL,0.01,4627.82,4629.02,4627.22,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-01T17:48:57Z,XAUUSD,SKIP,20260501,,SELL,0.02,4628.03,0.0,0.0,0.0,not_enough_margin_min_lot,"{""source"": ""aggressive_v3"", ""raw_event"": ""SKIP""}"
2026-05-01T17:49:03Z,XAUUSD,CLOSE,20260501,,BUY,0.01,4628.01,0.0,0.0,0.02,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-01T17:49:57Z,XAUUSD,OPEN,20260501,,SELL,0.01,4627.44,4628.64,4626.84,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
