time,symbol,event,position_id,deal_id,side,volume,price,sl,tp,ema9,ema21,rsi,spread_pts,profit,reason
2026-05-01T19:57:24Z,XAUUSD,CLOSE,56488058558,56176456628,BUY,0.01,4610.10000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.60,"deal_close"
2026-05-01T19:57:57Z,XAUUSD,OPEN,56488070808,56176463320,SELL,0.01,4609.22000,4610.42000,4608.62000,4611.20080,4613.40398,30.70,17,0.00,"opened"
2026-05-01T19:58:03Z,XAUUSD,CLOSE,56488070808,56176464363,BUY,0.01,4609.47000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.02,"deal_close"
2026-05-01T17:48:57Z,XAUUSD,OPEN,56486510517,56174955970,SELL,0.01,4627.82000,4629.02000,4627.22000,4628.56764,4630.19842,35.72,15,0.00,"opened"
2026-05-01T17:49:03Z,XAUUSD,CLOSE,56486510517,56174957155,BUY,0.01,4628.01000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.02,"deal_close"
2026-05-01T17:49:57Z,XAUUSD,OPEN,56486523359,56174968529,SELL,0.01,4627.44000,4628.64000,4626.84000,4628.34211,4629.94765,34.62,17,0.00,"opened"
2026-05-01T17:52:10Z,XAUUSD,CLOSE,56486523359,56174988654,BUY,0.01,4628.64000,0.00000,0.00000,0.00000,0.00000,0.00,0,-1.20,"deal_close"
2026-05-01T17:58:57Z,XAUUSD,OPEN,56486632842,56175073669,SELL,0.01,4629.12000,4630.32000,4628.52000,4629.60464,4629.81284,45.03,17,0.00,"opened"
2026-05-01T17:59:58Z,XAUUSD,CLOSE,56486632842,56175083997,BUY,0.01,4630.32000,0.00000,0.00000,0.00000,0.00000,0.00,0,-1.50,"deal_close"
2026-05-01T18:01:57Z,XAUUSD,OPEN,56486667789,56175106993,SELL,0.01,4627.15000,4628.35000,4626.55000,4629.10918,4629.53463,37.92,17,0.00,"opened"
2026-05-01T18:02:05Z,XAUUSD,CLOSE,56486667789,56175110465,BUY,0.01,4626.56000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.60,"deal_close"
2026-05-01T18:02:57Z,XAUUSD,OPEN,56486693029,56175132045,SELL,0.01,4625.02000,4626.22000,4624.42000,4628.29134,4629.12421,32.01,17,0.00,"opened"
2026-05-01T18:03:30Z,XAUUSD,CLOSE,56486693029,56175140992,BUY,0.01,4624.73000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.30,"deal_close"
2026-05-01T18:03:57Z,XAUUSD,OPEN,56486709207,56175147551,SELL,0.01,4624.48000,4625.68000,4623.88000,4627.52707,4628.70110,30.68,17,0.00,"opened"
2026-05-01T18:04:07Z,XAUUSD,CLOSE,56486709207,56175149806,BUY,0.01,4625.68000,0.00000,0.00000,0.00000,0.00000,0.00,0,-1.20,"deal_close"
2026-05-01T18:05:57Z,XAUUSD,OPEN,56486743142,56175180170,SELL,0.01,4624.15000,4625.35000,4623.55000,4626.38493,4627.94926,30.25,19,0.00,"opened"
2026-05-01T18:06:12Z,XAUUSD,CLOSE,56486743142,56175183704,BUY,0.01,4623.50000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.60,"deal_close"
2026-05-01T18:06:57Z,XAUUSD,OPEN,56486758818,56175195253,SELL,0.01,4623.89000,4625.09000,4623.29000,4625.88994,4627.58205,29.61,17,0.00,"opened"
2026-05-01T18:07:13Z,XAUUSD,CLOSE,56486758818,56175198459,BUY,0.01,4623.73000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.17,"deal_close"
2026-05-01T18:09:57Z,XAUUSD,OPEN,56486798974,56175234220,SELL,0.01,4624.25000,4625.45000,4623.65000,4625.23013,4626.82968,33.29,25,0.00,"opened"
2026-05-01T18:10:11Z,XAUUSD,CLOSE,56486798974,56175236923,BUY,0.01,4623.78000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.60,"deal_close"
2026-05-01T18:10:57Z,XAUUSD,OPEN,56486815588,56175250371,SELL,0.01,4623.27000,4624.47000,4622.67000,4624.83810,4626.50607,30.23,17,0.00,"opened"
2026-05-01T18:11:02Z,XAUUSD,CLOSE,56486815588,56175251462,BUY,0.01,4622.66000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.60,"deal_close"
2026-05-01T18:11:57Z,XAUUSD,OPEN,56486829138,56175263601,SELL,0.01,4621.90000,4623.10000,4621.30000,4624.24848,4626.08643,26.54,17,0.00,"opened"
2026-05-01T18:12:20Z,XAUUSD,CLOSE,56486829138,56175269714,BUY,0.01,4621.61000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.29,"deal_close"
2026-05-01T18:12:57Z,XAUUSD,OPEN,56486846192,56175280296,SELL,0.01,4620.61000,4621.81000,4620.01000,4623.52279,4625.58948,23.67,17,0.00,"opened"
2026-05-01T18:13:08Z,XAUUSD,CLOSE,56486846192,56175285115,BUY,0.01,4620.18000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.39,"deal_close"
2026-05-01T18:13:57Z,XAUUSD,OPEN,56486869250,56175303285,SELL,0.01,4617.77000,4618.97000,4617.17000,4622.38023,4624.88225,18.83,17,0.00,"opened"
2026-05-01T18:14:03Z,XAUUSD,CLOSE,56486869250,56175305750,BUY,0.01,4617.17000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.60,"deal_close"
2026-05-01T18:14:57Z,XAUUSD,OPEN,56486890263,56175323713,SELL,0.01,4615.80000,4617.00000,4615.20000,4621.06418,4624.05659,16.26,17,0.00,"opened"
2026-05-01T18:15:24Z,XAUUSD,CLOSE,56486890263,56175332422,BUY,0.01,4617.00000,0.00000,0.00000,0.00000,0.00000,0.00,0,-1.20,"deal_close"
2026-05-01T18:16:57Z,XAUUSD,OPEN,56486927540,56175359740,SELL,0.01,4614.10000,4615.30000,4613.50000,4619.09148,4622.60413,20.32,15,0.00,"opened"
2026-05-01T18:16:59Z,XAUUSD,CLOSE,56486927540,56175360949,BUY,0.01,4614.09000,0.00000,0.00000,0.00000,0.00000,0.00,0,0.02,"deal_close"
2026-05-01T18:30:57Z,XAUUSD,OPEN,56487120465,56175545394,SELL,0.01,4620.99000,4622.19000,4620.39000,4621.08701,4621.21717,47.63,19,0.00,"opened"
2026-05-01T18:31:10Z,XAUUSD,CLOSE,56487120465,56175548440,BUY,0.01,4622.19000,0.00000,0.00000,0.00000,0.00000,0.00,0,-1.30,"deal_close"
2026-05-01T18:31:57Z,XAUUSD,OPEN,56487134087,56175558346,SELL,0.01,4620.95000,4622.15000,4620.35000,4621.05961,4621.19288,47.51,17,0.00,"opened"
